"","Rede.Rodoviária","Rede.Rodoviária.Clandestina","Área.Devastada","População","Renda.domiciliar.per.capita","Taxa.de.desemprego","Homicídios","PIB","Exportação","Analfabetos"
"77",33115.7427141117,15945.4889757304,3624.53168619729,5202234.68850751,412.5872068131,9.16119988045166,802.285861693624,41901512.9975036,918883165.847356,13.9579366438831
"78",33122.3326318423,16003.8942102324,3634.95011259089,5223088.10800741,409.232605648847,9.14882830128347,798.820289119255,41995278.6922503,924170044.380602,13.9772717782263
"79",33128.9192395626,16062.2483172692,3648.30029782588,5242956.8219449,406.243042941019,9.13362665369339,794.923323408035,42096930.8073924,929486307.841758,13.9948985958937
"80",33135.5021912785,16120.5459525066,3664.52923574325,5261602.30730643,403.659563791779,9.11536305676545,790.586352537342,42206367.4620987,934832016.961272,14.0107316531047
"81",33142.0811409961,16178.7817716102,3683.58392018396,5278786.04107843,401.523213303285,9.09380562958373,785.800764484553,42323486.775538,940207232.469597,14.0246855060789
"82",33148.6557427211,16236.9504302457,3705.41134498901,5294269.50024735,399.8750365777,9.06872249123227,780.557947227046,42448186.866879,945612015.097182,14.036674711036
"83",33155.2256504595,16295.0465840787,3729.95850399938,5307814.16179963,398.756078717183,9.03988176079512,774.8492887422,42580365.8552905,951046425.574477,14.0466138241955
"84",33161.7905182172,16353.0648887749,3757.17239105605,5319181.5027217,398.207384823896,9.00705155735635,768.666177007392,42719921.8599413,956510524.631933,14.054417401777
"85",33168.35,16411,3787,5328133,398.27,8.97,762,42866753,962004373,14.06
"86",33174.9040227648,16468.8507895056,3819.31929588092,5334503.25249722,398.969888018462,8.92861656366389,754.856056688352,43020587.6044111,967528121.872242,14.0633071795766
"87",33181.453605272,16526.6329933872,3853.73212858333,5338419.34658101,400.272687335479,8.88327614670081,747.295290004575,43180474.8412211,973082284.294675,14.0644085191884
"88",33188.0000392329,16584.3665638265,3889.77131920045,5340081.49049527,402.128955078056,8.83447500331733,739.392553871745,43345294.0882524,978667463.776429,14.0634046020096
"89",33194.5446163588,16642.0714530047,3926.9696888255,5339689.89248388,404.489248373197,8.78270938772,731.222702212938,43513924.7233272,984284263.826634,14.060396011214
"90",33201.0886283609,16699.7676131036,3964.86005855172,5337444.76079074,407.304124347907,8.72847555411538,722.860588951232,43685246.1242676,989933287.954421,14.0554833299758
"91",33207.6333669507,16757.4749963046,4002.97524947232,5333546.30365975,410.524140129188,8.67226975671002,714.381068009702,43858137.668896,995615139.668918,14.0487671414691
"92",33214.1801238394,16815.2135547892,4040.84808268053,5328194.72933479,414.099852844046,8.61458824971049,705.858993311426,44031478.7350347,1001330422.47926,14.0403480288678
"93",33220.7301907384,16873.0032407389,4078.01137926957,5321590.24605977,417.981819619486,8.55592728732333,697.36921877948,44204148.7005057,1007079739.89456,14.0303265753462
"94",33227.2848593588,16930.8640063352,4113.99796033267,5313933.06207857,422.12059758251,8.49678312375511,688.986598336939,44375026.9431314,1012863695.42397,14.0188033640781
"95",33233.8454214121,16988.8158037597,4148.34064696305,5305423.38563509,426.466743860124,8.43765201321238,680.785985906882,44542992.840734,1018682892.57661,14.0058789782377
"96",33240.4131686096,17046.8785851939,4180.57226025394,5296261.42497323,430.970815579332,8.3790302099017,672.842235412384,44706925.7711358,1024537934.86161,13.9916540009991
"97",33246.9893926625,17105.0723028193,4210.22562129856,5286647.38833687,435.583369867137,8.32141396802962,665.230200776521,44865705.112159,1030429425.7881,13.9762290155362
"98",33253.5753852822,17163.4169088173,4236.83355119013,5276781.48396991,440.254963850545,8.26529954180271,658.024735922371,45018210.2416258,1036357968.86521,13.9597046050231
"99",33260.1724381799,17221.9323553695,4259.92887102189,5266863.92011626,444.93615465656,8.21118318542751,651.30069477301,45163320.5373585,1042324167.60207,13.942181352634
"100",33266.781843067,17280.6385946575,4279.04440188704,5257094.90501979,449.577499412185,8.15956115311059,645.132931251515,45299915.3771793,1048328625.50781,13.9237598415428
"101",33273.4048916549,17339.5555788627,4293.71296487883,5247674.6469244,454.129555244425,8.1109296990585,639.596299280961,45426874.1389105,1054371946.09156,13.9045406549237
"102",33280.0428756547,17398.7032601666,4303.46738109046,5238803.35407399,458.542879280284,8.06578507747779,634.765652784426,45543076.2003742,1060454732.86245,13.8846243759506
"103",33286.6970867778,17458.1015907508,4307.84047161517,5230681.23471245,462.768028646767,8.02462354257504,630.715845684986,45647400.9393928,1066577589.32961,13.8641115877976
"104",33293.3688167355,17517.7705227967,4306.36505754618,5223508.49708368,466.755560470878,7.98794134855678,627.521731905717,45738727.7337885,1072741119.00217,13.8431028736388
"105",33300.0593572391,17577.730008486,4298.57395997672,5217485.34943156,470.456031879621,7.95623474962958,625.258165369696,45815935.9613835,1078945925.38925,13.8216988166483
"106",33306.77,17638,4284,5212812,473.82,7.93,624,45877905,1085192612,13.8
"107",33313.501017969,17698.5847134248,4262.46757286102,5209640.18960487,476.810710897272,7.90958953207939,623.79548433212,45923888.9814523,1091481462.65742,13.7780924978334
"108",33320.2486090554,17759.4254204642,4234.96737041182,5207927.78935001,479.442166389707,7.89478049109831,624.586445351206,45954641.0535227,1097811482.44003,13.7560043481487
"109",33327.0079524081,17820.4476567264,4202.78165865621,5207584.20291124,481.741057233824,7.88520620049213,626.288104654826,45971289.1179853,1104181356.74025,13.7337490799117
"110",33333.7742271759,17881.5769578198,4167.192703598,5208518.83396437,483.734074186146,7.8804999836962,628.815683840543,45974961.0766144,1110589770.95048,13.7113402220878
"111",33340.5426125077,17942.7388593527,4129.482771241,5210641.08618524,485.447908003194,7.88029516414589,632.084404505925,45966784.8311841,1117035410.46313,13.6887913036429
"112",33347.3082875524,18003.8588969332,4090.934127589,5213860.36324966,486.909249441488,7.88422506527656,636.009488248536,45947888.2834688,1123516960.67061,13.6661158535424
"113",33354.0664314588,18064.8626061698,4052.82903864583,5218086.06883344,488.144789257551,7.89192301052357,640.506156665943,45919399.3352426,1130033106.96533,13.643327400752
"114",33360.8122233759,18125.6755226706,4016.44977041528,5223227.60661242,489.181218207903,7.90302232332228,645.489631355712,45882445.8882798,1136582534.7397,13.6204394742374
"115",33367.5408424525,18186.223182044,3983.07858890117,5229194.38026241,490.045227049065,7.91715632710806,650.875133915407,45838155.8443545,1143163929.38612,13.5974656029642
"116",33374.2474678374,18246.4311198983,3953.99776010731,5235895.79345923,490.76350653756,7.93395834531626,656.577885942595,45787657.1052411,1149775976.29701,13.5744193158979
"117",33380.9272786795,18306.2248718417,3930.4895500375,5243241.24987871,491.362747429908,7.95306170138225,662.513109034842,45732077.5727136,1156417360.86476,13.5513141420043
"118",33387.5754541278,18365.5299734825,3913.83622469554,5251140.15319666,491.869640482631,7.97409971874139,668.596024789714,45672545.1485465,1163086768.4818,13.5281636102489
"119",33394.187173331,18424.271960429,3905.32005008526,5259501.90708891,492.31087645225,7.99670572082904,674.741854804775,45610187.7345138,1169782884.54052,13.5049812495974
"120",33400.7576154381,18482.3763682895,3906.22329221045,5268235.91523127,492.713146095285,8.02051303108056,680.865820677592,45546133.2323898,1176504394.43333,13.4817805890154
"121",33407.2819595978,18539.7687326722,3917.82821707493,5277251.58129957,493.103140168259,8.04515497293131,686.883144005731,45481509.5439487,1183249983.55265,13.4585751574685
"122",33413.7553849592,18596.3745891855,3941.4170906825,5286458.30896963,493.507549427693,8.07026486981666,692.709046386757,45417444.5709648,1190018337.29088,13.4353784839224
"123",33420.173070671,18652.1194734376,3978.27217903697,5295765.50191726,493.953064630107,8.09547604517197,698.258749418237,45355066.2152122,1196808141.04044,13.4122040973426
"124",33426.5301958821,18706.9289210368,4029.67574814214,5305082.5638183,494.466376532024,8.1204218224326,703.447474697735,45295502.3784652,1203618080.19371,13.3890655266949
